,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
"Congo, Dem. Rep.",73291,73593.81763,73897.88642,74203.21154,74509.79817,74817.65153,75135.16468,75454.02529,75774.2391,76095.81184,76418.74927,76729.5281,77041.5708,77354.88251,77669.4684,77985.33363,78288.66724,78593.1807,78898.8786,79205.76555,79513.84617,79805.26731,80097.75652,80391.31771,80685.95481,80981.67177,81257.71257,81534.69431,81812.62019,82091.49343,82371.31726,82630.79442,82891.08897,83152.20346,83414.14049,83676.90264
Costa Rica,4925,4935.895039,4946.814181,4957.757477,4968.724983,4979.71675,4988.400913,4997.10022,5005.814698,5014.544373,5023.289272,5029.932558,5036.584631,5043.245501,5049.91518,5056.593679,5061.458865,5066.328731,5071.203283,5076.082525,5080.966461,5084.285075,5087.605857,5090.928807,5094.253928,5097.581221,5099.486292,5101.392075,5103.29857,5105.205778,5107.113698,5107.685567,5108.2575,5108.829496,5109.401557,5109.973682
Cote d'Ivoire,21533,21624.467,21716.32254,21808.56825,21901.20581,21994.23686,22082.86037,22171.84098,22261.18012,22350.87925,22440.93981,22525.48616,22610.35103,22695.53563,22781.04117,22866.86885,22946.61908,23026.64744,23106.95491,23187.54246,23268.41107,23343.17906,23418.1873,23493.43657,23568.92763,23644.66127,23714.37899,23784.30227,23854.43173,23924.76797,23995.3116,24059.7519,24124.36525,24189.15212,24254.11299,24319.24831
Cuba,11236,11233.68443,11231.36934,11229.05472,11226.74058,11224.42692,11221.46211,11218.49807,11215.53483,11212.57236,11209.61068,11204.87622,11200.14377,11195.41331,11190.68486,11185.9584,11178.49861,11171.04379,11163.59395,11156.14907,11148.70916,11138.43342,11128.16715,11117.91035,11107.663,11097.42509,11084.43292,11071.45595,11058.49417,11045.54757,11032.61613,11017.08266,11001.57106,10986.0813,10970.61334,10955.16717
Cyprus,1153,1155.049652,1157.102947,1159.159893,1161.220495,1163.28476,1164.948147,1166.613912,1168.282059,1169.952591,1171.625512,1173.037428,1174.451046,1175.866368,1177.283395,1178.70213,1179.657685,1180.614016,1181.571121,1182.529003,1183.48766,1184.050465,1184.613537,1185.176877,1185.740485,1186.304361,1186.532044,1186.759771,1186.987541,1187.215355,1187.443213,1187.3387,1187.234196,1187.129701,1187.025215,1186.920738
Denmark,5628,5631.507497,5635.017181,5638.529051,5642.043111,5645.55936,5648.807463,5652.057434,5655.309275,5658.562987,5661.818571,5664.398009,5666.978622,5669.560411,5672.143376,5674.727517,5676.24753,5677.767949,5679.288776,5680.81001,5682.331652,5682.84297,5683.354334,5683.865744,5684.3772,5684.888701,5684.706773,5684.524851,5684.342935,5684.161024,5683.979119,5683.456097,5682.933123,5682.410197,5681.887319,5681.364489
Dominican Republic,10433,10454.81786,10476.68134,10498.59054,10520.54557,10542.5465,10561.18297,10579.85239,10598.55481,10617.29029,10636.05889,10651.60583,10667.1755,10682.76793,10698.38315,10714.0212,10726.35674,10738.70649,10751.07045,10763.44865,10775.8411,10784.94208,10794.05074,10803.16709,10812.29115,10821.42291,10827.36816,10833.31667,10839.26845,10845.2235,10851.18182,10854.13174,10857.08246,10860.03398,10862.9863,10865.93943
Ecuador,15253,15287.71002,15322.49904,15357.36721,15392.31474,15427.34179,15457.43093,15487.57875,15517.78537,15548.0509,15578.37547,15603.80966,15629.28538,15654.80269,15680.36166,15705.96236,15726.70221,15747.46944,15768.2641,15789.08622,15809.93583,15826.06066,15842.20194,15858.35967,15874.53389,15890.7246,15902.33962,15913.96313,15925.59513,15937.23564,15948.88466,15956.27808,15963.67493,15971.07521,15978.47893,15985.88607
Egypt,86788,87038.238,87289.19751,87540.88063,87793.28943,88046.426,88264.92661,88483.96946,88703.55589,88923.68727,89144.36493,89335.73676,89527.51941,89719.71378,89912.32074,90105.34119,90274.10586,90443.18662,90612.58407,90782.2988,90952.33139,91099.01835,91245.94188,91393.10237,91540.5002,91688.13575,91811.21709,91934.46366,92057.87567,92181.45334,92305.19691,92403.20131,92501.30976,92599.52238,92697.83927,92796.26056
El Salvador,6342,6350.790975,6359.594136,6368.409499,6377.237081,6386.0769,6395.106784,6404.149437,6413.204876,6422.273119,6431.354185,6440.320184,6449.298683,6458.289699,6467.293249,6476.309351,6483.327396,6490.353047,6497.38631,6504.427196,6511.475711,6516.780425,6522.08946,6527.402821,6532.72051,6538.042532,6541.778021,6545.515645,6549.255404,6552.9973,6556.741333,6558.890535,6561.040441,6563.191052,6565.342368,6567.494389
Estonia,1338,1337.708189,1337.416441,1337.124757,1336.833137,1336.54158,1336.00118,1335.460999,1334.921037,1334.381292,1333.841766,1333.024454,1332.207642,1331.391332,1330.575521,1329.76021,1328.878741,1327.997856,1327.117555,1326.237838,1325.358704,1324.644892,1323.931465,1323.218423,1322.505764,1321.793489,1321.248461,1320.703657,1320.159078,1319.614724,1319.070594,1318.553113,1318.035834,1317.518759,1317.001886,1316.485216
Ethiopia,90179,90514.84083,90851.93238,91190.27931,91529.8863,91870.75804,92179.74698,92489.77514,92800.84602,93112.96313,93426.12997,93704.18774,93983.07308,94262.78844,94543.3363,94824.71914,95067.55106,95311.00485,95555.08208,95799.78435,96045.11327,96253.39422,96462.12685,96671.31212,96880.95103,97091.04456,97268.45996,97446.19956,97624.26394,97802.6537,97981.36944,98131.01907,98280.89726,98431.00437,98581.34074,98731.90673
Fiji,889,890.0447834,891.0907946,892.1380352,893.1865065,894.23621,894.9344116,895.6331583,896.3324506,897.0322889,897.7326736,898.3834832,899.0347646,899.6865182,900.3387443,900.9914432,901.6338344,902.2766836,902.9199912,903.5637574,904.2079826,904.8021701,905.3967479,905.9917165,906.5870761,907.1828269,907.6920916,908.2016421,908.7114787,909.2216015,909.7320106,910.1482868,910.5647534,910.9814106,911.3982584,911.8152969
Finland,5434,5437.007106,5440.015876,5443.026311,5446.038412,5449.05218,5451.382381,5453.713578,5456.045771,5458.378963,5460.713152,5462.044916,5463.377005,5464.709419,5466.042158,5467.375222,5467.670428,5467.96565,5468.260889,5468.556143,5468.851413,5468.545123,5468.23885,5467.932595,5467.626356,5467.320135,5467.002993,5466.68587,5466.368766,5466.05168,5465.734612,5465.734612,5465.734612,5465.734612,5465.734612,5465.734612
France,64100,64157.4587,64214.9689,64272.53065,64330.144,64387.809,64439.36539,64490.96307,64542.60206,64594.28239,64646.00411,64693.90042,64741.83222,64789.79953,64837.80238,64885.84079,64929.64444,64973.47765,65017.34046,65061.23288,65105.15493,65143.91143,65182.69101,65221.49367,65260.31942,65299.16829,65333.0886,65367.02653,65400.98209,65434.95529,65468.94613,65499.42627,65529.92059,65560.42911,65590.95184,65621.48877
Gabon,1625,1631.006925,1637.036056,1643.087474,1649.161261,1655.2575,1660.951996,1666.666082,1672.399827,1678.153297,1683.92656,1689.217779,1694.525624,1699.850147,1705.191402,1710.549439,1715.474745,1720.414232,1725.367942,1730.335916,1735.318195,1739.975022,1744.644347,1749.326202,1754.02062,1758.727637,1763.127014,1767.537395,1771.958809,1776.391282,1780.834844,1784.926168,1789.026892,1793.137037,1797.256625,1801.385678
Gambia,1926,1935.640854,1945.329968,1955.067581,1964.853937,1974.68928,1983.946311,1993.246737,2002.590763,2011.978591,2021.410428,2030.247248,2039.122698,2048.036948,2056.990168,2065.982528,2074.351916,2082.755209,2091.192544,2099.664058,2108.169892,2116.012741,2123.884767,2131.786079,2139.716785,2147.676995,2154.989269,2162.32644,2169.688592,2177.07581,2184.488179,2191.253016,2198.038802,2204.845602,2211.673481,2218.522505
Georgia,4252,4246.047566,4240.103464,4234.167684,4228.240213,4222.32104,4215.628591,4208.94675,4202.275499,4195.614823,4188.964704,4181.869738,4174.786789,4167.715837,4160.656862,4153.609842,4146.541302,4139.484792,4132.44029,4125.407776,4118.38723,4111.486436,4104.597205,4097.719518,4090.853355,4083.998697,4077.221306,4070.455163,4063.700247,4056.956542,4050.224028,4043.706526,4037.199513,4030.702971,4024.216882,4017.741231
Germany,81626,81606.56376,81587.13214,81567.70516,81548.2828,81528.86506,81502.2693,81475.68222,81449.10382,81422.53408,81395.97301,81360.77953,81325.60127,81290.43821,81255.29036,81220.15771,81178.04201,81135.94815,81093.87612,81051.82591,81009.7975,80962.27002,80914.77043,80867.29871,80819.85483,80772.43879,80720.19225,80667.9795,80615.80053,80563.65531,80511.54382,80456.55989,80401.61352,80346.70467,80291.83333,80236.99945
Ghana,26722,26832.82827,26944.1162,27055.86569,27168.07866,27280.75702,27385.31082,27490.26532,27595.62206,27701.38259,27807.54844,27906.72322,28006.2517,28106.13515,28206.37483,28306.97201,28401.28306,28495.90833,28590.84886,28686.10571,28781.67993,28870.52562,28959.64556,29049.04061,29138.71161,29228.65942,29310.79667,29393.16475,29475.76429,29558.59595,29641.66038,29716.57061,29791.67016,29866.95949,29942.4391,30018.10946
Greece,11471,11474.04966,11477.10014,11480.15142,11483.20352,11486.25643,11487.61149,11488.96671,11490.32209,11491.67762,11493.03332,11493.7458,11494.45832,11495.17089,11495.88351,11496.59616,11497.33185,11498.06758,11498.80337,11499.5392,11500.27507,11501.10297,11501.93093,11502.75895,11503.58703,11504.41517,11504.73728,11505.05939,11505.38152,11505.70365,11506.02579,11505.1512,11504.27667,11503.40222,11502.52782,11501.6535
Guatemala,15926,16000.90865,16076.16964,16151.78463,16227.75527,16304.08324,16375.42243,16447.07377,16519.03862,16591.31836,16663.91436,16731.19106,16798.73938,16866.56041,16934.65525,17003.02501,17066.17944,17129.56844,17193.19288,17257.05365,17321.15161,17380.26226,17439.57464,17499.08943,17558.80731,17618.729,17673.81202,17729.06725,17784.49523,17840.0965,17895.8716,17946.69275,17997.65821,18048.76841,18100.02375,18151.42465
Guinea,11034,11086.61352,11139.47792,11192.5944,11245.96415,11299.58838,11350.82847,11402.30092,11454.00677,11505.9471,11558.12296,11607.6736,11657.43668,11707.41308,11757.60375,11808.00958,11855.63521,11903.45294,11951.46353,11999.66776,12048.06642,12093.57624,12139.25797,12185.11226,12231.13976,12277.34112,12320.40157,12363.61306,12406.97609,12450.49122,12494.15896,12534.57759,12575.12697,12615.80753,12656.61969,12697.56387
Guinea-Bissau,1647,1653.707722,1660.442763,1667.205233,1673.995245,1680.81291,1687.416831,1694.046699,1700.702616,1707.384684,1714.093006,1720.567744,1727.066939,1733.590684,1740.139072,1746.712196,1753.048544,1759.407877,1765.79028,1772.195835,1778.624627,1784.810197,1791.017279,1797.245948,1803.496278,1809.768345,1815.783708,1821.819066,1827.874484,1833.950029,1840.045769,1845.852983,1851.678525,1857.522452,1863.384823,1869.265696
Guyana,760,760.4114742,760.8231712,761.2350911,761.647234,762.0596,762.5360532,763.0128042,763.4898533,763.9672007,764.4448465,764.8083764,765.1720791,765.5359548,765.9000035,766.2642253,766.3377725,766.4113268,766.4848882,766.5584566,766.6320321,766.3957639,766.1595684,765.9234458,765.6873959,765.4514188,765.0161476,764.581124,764.1463477,763.7118187,763.2775368,762.7516777,762.226181,761.7010463,761.1762734,760.651862
Haiti,10523,10548.0723,10573.20434,10598.39626,10623.6482,10648.96031,10672.13783,10695.36579,10718.6443,10741.97349,10765.35345,10785.7517,10806.18861,10826.66423,10847.17866,10867.73196,10885.41049,10903.11777,10920.85387,10938.61881,10956.41265,10971.36018,10986.32811,11001.31645,11016.32524,11031.35451,11043.52829,11055.71551,11067.91617,11080.1303,11092.3579,11101.70409,11111.05815,11120.4201,11129.78993,11139.16765
Honduras,8231,8260.306924,8289.718196,8319.23419,8348.855276,8378.58183,8405.074411,8431.65076,8458.311141,8485.055822,8511.885067,8535.518646,8559.217845,8582.982845,8606.81383,8630.710982,8651.58242,8672.50433,8693.476836,8714.500058,8735.574121,8753.807609,8772.079155,8790.388839,8808.73674,8827.122938,8842.709458,8858.323501,8873.965114,8889.634347,8905.331247,8918.312938,8931.313553,8944.33312,8957.371666,8970.429218
Hungary,9921,9917.862981,9914.726953,9911.591918,9908.457873,9905.32482,9901.934879,9898.546099,9895.158478,9891.772017,9888.386715,9884.408383,9880.431652,9876.456522,9872.48299,9868.511057,9863.769618,9859.030457,9854.293573,9849.558964,9844.826631,9840.096571,9835.368784,9830.643268,9825.920023,9821.199047,9817.188724,9813.180038,9809.17299,9805.167578,9801.163801,9797.907652,9794.652584,9791.398598,9788.145693,9784.893869
Iceland,337,337.7107616,338.4230222,339.136785,339.8520532,340.56883,341.2033251,341.8390023,342.4758638,343.1139118,343.7531486,344.2952535,344.8382134,345.3820295,345.9267033,346.472236,346.920794,347.3699327,347.8196529,348.2699554,348.7208408,349.0952595,349.4700803,349.8453035,350.2209295,350.5969589,350.9105324,351.2243863,351.5385209,351.8529365,352.1676333,352.4236388,352.6798305,352.9362084,353.1927727,353.4495235
