,Population in Thousands of People,,,,,,,,,,,,,,,,
Estonia,,ERROR,Eritrea,  2 454,  3 139,  3 535,  4 690,  5 110,,,,,,,,,
Ethiopia,,ERROR,Estonia,  1 484,  1 565,  1 399,  1 332,  1 316,,,,,,,,,
Fiji,,ERROR,Ethiopia,  36 093,  48 057,  66 444,  87 562,  96 959,,,,,,,,,
Finland,,ERROR,Faeroe Islands,   44,   48,   46,   49,   48,,,,,,,,,
France,,ERROR,Falkland Islands (Malvinas),   2,   2,   3,   3,   3,,,,,,,,,
Gabon,,ERROR,Fiji,   651,   729,   811,   860,   886,,,,,,,,,
Gambia,,ERROR,Finland,  4 801,  4 987,  5 176,  5 368,  5 480,,,,,,,,,
Georgia,,ERROR,France,  54 279,  56 943,  59 387,  62 961,  64 121,,,,,,,,,
Germany,,ERROR,French Guiana,   70,   116,   163,   234,   261,,,,,,,,,
Ghana,,ERROR,French Polynesia,   156,   198,   237,   268,   280,,,,,,,,,
Greece,,ERROR,Gabon,   748,   952,  1 232,  1 542,  1 688,,,,,,,,,
Grenada,,ERROR,Gambia,   625,   917,  1 229,  1 693,  1 928,,,,,,,,,
Guatemala,,ERROR,Georgia,  5 112,  5 460,  4 744,  4 250,  4 035,,,,,,,,,
Guinea,,ERROR,Germany,  77 990,  78 958,  81 896,  80 435,  80 646,,,,,,,,,
Guinea-Bissau,,ERROR,Ghana,  11 118,  14 628,  18 825,  24 318,  26 787,,,,,,,,,
Guyana,,ERROR,Gibraltar,   27,   27,   27,   31,   32,,,,,,,,,
Haiti,,ERROR,Greece,  9 705,  10 132,  10 954,  11 178,  11 001,,,,,,,,,
Honduras,,ERROR,Greenland,   51,   56,   56,   57,   56,,,,,,,,,
Hungary,,ERROR,Grenada,   91,   96,   102,   105,   106,,,,,,,,,
Iceland,,ERROR,Guadeloupe,   334,   390,   431,   457,   466,,,,,,,,,
India,,ERROR,Guam,   106,   130,   155,   159,   168,,,,,,,,,
Indonesia,,ERROR,Guatemala,  7 310,  9 159,  11 689,  14 732,  16 015,,,,,,,,,
Iran,,ERROR,Guinea,  4 584,  6 034,  8 799,  11 012,  12 276,,,,,,,,,
Iraq,,ERROR,Guinea-Bissau,   867,  1 056,  1 315,  1 634,  1 801,,,,,,,,,
Ireland,,ERROR,Guyana,   788,   720,   742,   753,   764,,,,,,,,,
Israel,,ERROR,Haiti,  5 819,  7 100,  8 549,  10 000,  10 572,,,,,,,,,
Italy,,ERROR,Holy See,   1,   1,   1,   1,   1,,,,,,,,,
Jamaica,,ERROR,Honduras,  3 751,  4 903,  6 243,  7 504,  7 962,,,,,,,,,
Japan,,ERROR,Hungary,  10 750,  10 385,  10 224,  10 015,  9 890,,,,,,,,,
Jordan,,ERROR,Iceland,   231,   255,   281,   318,   327,,,,,,,,,
Kazakhstan,,ERROR,India,  713 561,  870 602, 1 053 481, 1 230 985, 1 295 292,,,,,,,,,
Kenya,,ERROR,Indonesia,  150 979,  181 437,  211 540,  241 613,  254 455,,,,,,,,,
Kiribati,,ERROR,Iran (Islamic Republic of),  40 209,  56 169,  65 850,  74 253,  78 144,,,,,,,,,
Kuwait,,ERROR,Iraq,  14 046,  17 478,  23 575,  30 868,  35 273,,,,,,,,,
Kyrgyzstan,,ERROR,Ireland,  3 469,  3 563,  3 842,  4 617,  4 675,,,,,,,,,
Lao People's Democratic Republic,,ERROR,Isle of Man,   65,   70,   77,   84,   87,,,,,,,,,
Latvia,,ERROR,Israel,  3 815,  4 499,  6 014,  7 420,  7 939,,,,,,,,,
Lebanon,,ERROR,Italy,  56 490,  57 008,  57 147,  59 588,  59 789,,,,,,,,,
Lesotho,,ERROR,Jamaica,  2 176,  2 386,  2 600,  2 741,  2 783,,,,,,,,,
Liberia,,ERROR,Japan,  116 822,  122 249,  125 715,  127 320,  126 795,,,,,,,,,
Libya,,ERROR,Jordan,  2 366,  3 358,  4 767,  6 518,  7 416,,,,,,,,,
Liechtenstein,,ERROR,Kazakhstan,  15 082,  16 530,  14 957,  16 311,  17 372,,,,,,,,,
Lithuania,,ERROR,Kenya,  16 901,  23 446,  31 066,  40 328,  44 864,,,,,,,,,
Luxembourg,,ERROR,Kiribati,   60,   72,   84,   103,   110,,,,,,,,,
Madagascar,,ERROR,Kuwait,  1 452,  2 059,  1 929,  3 059,  3 753,,,,,,,,,
Malawi,,ERROR,Kyrgyzstan,  3 700,  4 395,  4 955,  5 465,  5 844,,,,,,,,,
Malaysia,,ERROR,Lao People's Democratic Republic,  3 318,  4 248,  5 343,  6 261,  6 689,,,,,,,,,
Maldives,,ERROR,Latvia,  2 525,  2 664,  2 371,  2 091,  1 989,,,,,,,,,
Mali,,ERROR,Lebanon,  2 616,  2 703,  3 235,  4 337,  5 612,,,,,,,,,
Malta,,ERROR,Lesotho,  1 341,  1 598,  1 856,  2 011,  2 109,,,,,,,,,
Marshall Islands,,ERROR,Liberia,  1 962,  2 103,  2 892,  3 958,  4 397,,,,,,,,,
Mauritania,,ERROR,Libya,  3 319,  4 398,  5 337,  6 266,  6 259,,,,,,,,,
Mauritius,,ERROR,Liechtenstein,   26,   29,   33,   36,   37,,,,,,,,,
Mexico,,ERROR,Lithuania,  3 457,  3 697,  3 486,  3 123,  2 917,,,,,,,,,
Micronesia,,ERROR,Luxembourg,   365,   382,   436,   508,   557,,,,,,,,,
Monaco,,ERROR,Madagascar,  8 983,  11 546,  15 745,  21 080,  23 572,,,,,,,,,
Mongolia,,ERROR,Malawi,  6 327,  9 409,  11 193,  14 770,  16 695,,,,,,,,,
Montenegro,,ERROR,Malaysia,  14 180,  18 211,  23 421,  28 120,  29 902,,,,,,,,,
Morocco,,ERROR,Maldives,   164,   223,   280,   333,   357,,,,,,,,,
Mozambique,,ERROR,Mali,  7 234,  8 482,  11 047,  15 167,  17 086,,,,,,,,,
Myanmar,,ERROR,Malta,   323,   356,   387,   412,   418,,,,,,,,,
Namibia,,ERROR,Marshall Islands,   32,   47,   52,   52,   53,,,,,,,,,
Nauru,,ERROR,Martinique,   327,   358,   387,   395,   396,,,,,,,,,
Nepal,,ERROR,Mauritania,  1 579,  2 024,  2 711,  3 591,  3 970,,,,,,,,,
Netherlands,,ERROR,Mauritius,   978,  1 056,  1 185,  1 248,  1 269,,,,,,,,,
New Zealand,,ERROR,Mayotte,   58,   95,   150,   209,   234,,,,,,,,,
Nicaragua,,ERROR,Mexico,  70 951,  85 609,  102 809,  118 618,  125 386,,,,,,,,,
Niger,,ERROR,Micronesia (Fed. States of),   75,   96,   107,   104,   104,,,,,,,,,
Nigeria,,ERROR,Monaco,   27,   29,   32,   37,   38,,,,,,,,,
Norway,,ERROR,Mongolia,  1 733,  2 184,  2 397,  2 713,  2 910,,,,,,,,,
Oman,,ERROR,Montenegro,   588,   615,   614,   622,   625,,,,,,,,,
Pakistan,,ERROR,Montserrat,   12,   11,   5,   5,   5,,,,,,,,,
Palau,,ERROR,Morocco,  20 564,  24 950,  28 951,  32 108,  33 921,,,,,,,,,
Panama,,ERROR,Mozambique,  12 229,  13 372,  18 265,  24 321,  27 216,,,,,,,,,
Papua New Guinea,,ERROR,Myanmar,  35 280,  42 007,  47 670,  51 733,  53 437,,,,,,,,,
Paraguay,,ERROR,Namibia,  1 034,  1 415,  1 898,  2 194,  2 403,,,,,,,,,
Peru,,ERROR,Nauru,   8,   9,   10,   10,   10,,,,,,,,,
Philippines,,ERROR,Nepal,  15 237,  18 742,  23 740,  26 876,  28 175,,,,,,,,,
Poland,,ERROR,Netherlands,  14 182,  14 915,  15 894,  16 632,  16 868,,,,,,,,,
Portugal,,ERROR,New Caledonia,   144,   169,   210,   246,   260,,,,,,,,,
Qatar,,ERROR,New Zealand,  3 165,  3 398,  3 858,  4 369,  4 495,,,,,,,,,
Republic of Korea,,ERROR,Nicaragua,  3 343,  4 145,  5 027,  5 738,  6 014,,,,,,,,,
Republic of Macedonia,,ERROR,Niger,  6 130,  7 912,  11 225,  16 292,  19 114,,,,,,,,,
Republic of Moldova,,ERROR,Nigeria,  75 730,  95 617,  122 877,  159 425,  177 476,,,,,,,,,
Romania,,ERROR,Niue,   3,   2,   2,   2,   2,,,,,,,,,
Russian Federation,,ERROR,Northern Mariana Islands,   19,   44,   68,   54,   55,,,,,,,,,
Rwanda,,ERROR,Norway,  4 095,  4 240,  4 492,  4 891,  5 148,,,,,,,,,
Saint Kitts and Nevis,,ERROR,Oman,  1 221,  1 812,  2 239,  2 944,  4 236,,,,,,,,,
Saint Lucia,,ERROR,Other non-specified areas,  18 127,  20 232,  21 935,  23 200,  23 362,,,,,,,,,
Saint Vincent and the Grenadines,,ERROR,Pakistan,  80 692,  107 608,  138 250,  170 044,  185 044,,,,,,,,,
Samoa,,ERROR,Palau,   12,   15,   19,   20,   21,,,,,,,,,
San Marino,,ERROR,Panama,  2 026,  2 471,  3 029,  3 621,  3 868,,,,,,,,,
Sao Tome and Principe,,ERROR,Papua New Guinea,  3 304,  4 158,  5 374,  6 848,  7 464,,,,,,,,,
Saudi Arabia,,ERROR,Paraguay,  3 271,  4 214,  5 303,  6 210,  6 553,,,,,,,,,
Senegal,,ERROR,Peru,  17 793,  21 827,  25 915,  29 374,  30 973,,,,,,,,,
Serbia,,ERROR,Philippines,  48 716,  61 947,  77 932,  93 039,  99 139,,,,,,,,,
Seychelles,,ERROR,Poland,  36 145,  38 195,  38 486,  38 575,  38 620,,,,,,,,,
Sierra Leone,,ERROR,Portugal,  9 824,  9 890,  10 279,  10 585,  10 402,,,,,,,,,
Singapore,,ERROR,Puerto Rico,  3 230,  3 518,  3 797,  3 710,  3 687,,,,,,,,,
Slovakia,,ERROR,Qatar,   248,   476,   593,  1 766,  2 172,,,,,,,,,
Slovenia,,ERROR,Republic of Korea,  38 046,  42 972,  46 206,  49 090,  50 074,,,,,,,,,
Solomon Islands,,ERROR,Republic of Moldova,  4 049,  4 364,  4 201,  4 084,  4 072,,,,,,,,,
Somalia,,ERROR,Réunion,   517,   611,   737,   831,   855,,,,,,,,,
South Africa,,ERROR,Romania,  22 740,  23 489,  22 128,  20 299,  19 652,,,,,,,,,
South Sudan,,ERROR,Russian Federation,  139 007,  147 569,  146 401,  143 158,  143 429,,,,,,,,,
Spain,,ERROR,Rwanda,  5 314,  7 260,  8 022,  10 294,  11 342,,,,,,,,,
Sri Lanka,,ERROR,Saint Helena,   5,   6,   5,   4,   4,,,,,,,,,
Sudan,,ERROR,Saint Kitts and Nevis,   43,   41,   46,   52,   55,,,,,,,,,
Suriname,,ERROR,Saint Lucia,   120,   138,   157,   177,   184,,,,,,,,,
Swaziland,,ERROR,Saint Pierre and Miquelon,   6,   6,   6,   6,   6,,,,,,,,,
Sweden,,ERROR,Saint Vincent and the Grenadines,   101,   108,   108,   109,   109,,,,,,,,,
Switzerland,,ERROR,Samoa,   156,   163,   175,   186,   192,,,,,,,,,
Syrian Arab Republic,,ERROR,San Marino,   22,   24,   27,   31,   32,,,,,,,,,
Tajikistan,,ERROR,Sao Tome and Principe,   97,   114,   137,   171,   186,,,,,,,,,
Thailand,,ERROR,Saudi Arabia,  10 557,  16 361,  21 392,  28 091,  30 887,,,,,,,,,
Timor-Leste,,ERROR,Senegal,  5 724,  7 514,  9 861,  12 957,  14 673,,,,,,,,,
Togo,,ERROR,Serbia,  8 985,  9 518,  9 463,  9 059,  8 893,,,,,,,,,
Tonga,,ERROR,Seychelles,   67,   71,   81,   93,   96,,,,,,,,,
Trinidad and Tobago,,ERROR,Sierra Leone,  3 155,  3 931,  4 061,  5 776,  6 316,,,,,,,,,
Tunisia,,ERROR,Singapore,  2 463,  3 016,  3 918,  5 079,  5 507,,,,,,,,,
Turkey,,ERROR,Sint Maarten (Dutch part),   14,   29,   32,   33,   38,,,,,,,,,
Turkmenistan,,ERROR,Slovakia,  5 029,  5 278,  5 386,  5 407,  5 423,,,,,,,,,
Tuvalu,,ERROR,Slovenia,  1 858,  2 007,  1 989,  2 052,  2 066,,,,,,,,,
Uganda,,ERROR,Solomon Islands,   238,   312,   412,   526,   572,,,,,,,,,
Ukraine,,ERROR,Somalia,  6 252,  6 322,  7 385,  9 582,  10 518,,,,,,,,,
United Arab Emirates,,ERROR,South Africa,  29 829,  36 793,  44 897,  51 622,  53 969,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,,ERROR,South Sudan,  4 850,  5 762,  6 693,  10 056,  11 911,,,,,,,,,
United Republic of Tanzania,,ERROR,Spain,  37 976,  39 192,  40 750,  46 601,  46 260,,,,,,,,,
Uruguay,,ERROR,Sri Lanka,  15 274,  17 331,  18 784,  20 201,  20 619,,,,,,,,,
Uzbekistan,,ERROR,State of Palestine,  1 553,  2 101,  3 224,  4 069,  4 542,,,,,,,,,
Vanuatu,,ERROR,Sudan,  14 935,  20 009,  28 080,  36 115,  39 350,,,,,,,,,
Venezuela,,ERROR,Suriname,   363,   408,   481,   518,   538,,,,,,,,,
Viet Nam,,ERROR,Swaziland,   621,   863,  1 064,  1 193,  1 269,,,,,,,,,
Yemen,,ERROR,Sweden,  8 320,  8 559,  8 872,  9 382,  9 703,,,,,,,,,
Zambia,,ERROR,Switzerland,  6 316,  6 674,  7 166,  7 831,  8 211,,,,,,,,,
Zimbabwe,,ERROR,Syrian Arab Republic,  9 277,  12 452,  16 354,  20 721,  18 772,,,,,,,,,
,,ERROR,Tajikistan,  4 030,  5 297,  6 186,  7 582,  8 296,,,,,,,,,
,,ERROR,TFYR Macedonia,  1 941,  1 996,  2 012,  2 062,  2 076,,,,,,,,,
,,ERROR,Thailand,  48 337,  56 583,  62 693,  66 692,  67 726,,,,,,,,,
,,ERROR,Timor-Leste,   581,   740,   847,  1 057,  1 157,,,,,,,,,
,,ERROR,Togo,  2 812,  3 787,  4 875,  6 391,  7 115,,,,,,,,,
,,ERROR,Tokelau,   2,   2,   2,   1,   1,,,,,,,,,
,,ERROR,Tonga,   93,   95,   98,   104,   106,,,,,,,,,
,,ERROR,Trinidad and Tobago,  1 103,  1 222,  1 268,  1 328,  1 354,,,,,,,,,
,,ERROR,Tunisia,  6 545,  8 233,  9 699,  10 639,  11 130,,,,,,,,,
,,ERROR,Turkey,  44 937,  53 995,  63 240,  72 310,  77 524,,,,,,,,,
,,ERROR,Turkmenistan,  2 931,  3 668,  4 501,  5 042,  5 307,,,,,,,,,
,,ERROR,Turks and Caicos Islands,   8,   12,   19,   31,   34,,,,,,,,,
,,ERROR,Tuvalu,   8,   9,   9,   10,   10,,,,,,,,,
,,ERROR,Uganda,  12 927,  17 384,  23 758,  33 149,  37 783,,,,,,,,,
,,ERROR,Ukraine,  50 182,  51 370,  48 746,  45 647,  45 002,,,,,,,,,
,,ERROR,United Arab Emirates,  1 093,  1 811,  3 050,  8 329,  9 086,,,,,,,,,
,,ERROR,United Kingdom,  56 231,  57 110,  58 867,  62 717,  64 331,,,,,,,,,
,,ERROR,United Republic of Tanzania,  19 280,  25 458,  33 992,  45 649,  51 823,,,,,,,,,
,,ERROR,United States of America,  231 766,  252 848,  282 896,  309 876,  319 449,,,,,,,,,
,,ERROR,United States Virgin Islands,   100,   103,   109,   106,   106,,,,,,,,,
,,ERROR,Uruguay,  2 935,  3 110,  3 321,  3 374,  3 420,,,,,,,,,
,,ERROR,Uzbekistan,  16 375,  20 515,  24 518,  27 740,  29 470,,,,,,,,,
,,ERROR,Vanuatu,   119,   147,   185,   236,   259,,,,,,,,,
,,ERROR,Venezuela (Bolivarian Republic of),  15 762,  19 862,  24 481,  28 996,  30 694,,,,,,,,,
,,ERROR,Viet Nam,  55 628,  68 210,  80 286,  88 358,  92 423,,,,,,,,,
,,ERROR,Western Sahara,   161,   217,   306,   512,   561,,,,,,,,,
,,ERROR,Yemen,  8 370,  11 961,  17 795,  23 592,  26 184,,,,,,,,,
,,ERROR,Zambia,  6 138,  8 143,  10 585,  13 917,  15 721,,,,,,,,,
,,ERROR,Zimbabwe,  7 572,  10 485,  12 500,  13 974,  15 246,,,,,,,,,
,,ERROR,Zambia,  6 138,  8 143,  10 585,  13 917,  15 721,,,,,,,,,
,,ERROR,Zimbabwe,  7 572,  10 485,  12 500,  13 974,  15 246,,,,,,,,,
,,ERROR,Zimbabwe,  7 572,  10 485,  12 500,  13 974,  15 246,,,,,,,,,
,,ERROR,,,,,,,,,,,,,,,
,,ERROR,,,,,,,,,,,,,,,
,,ERROR,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,
,,ERROR,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,
