country,Region,population,Average age of population (years),"Undernourished (per 1,000 people)","Birth Rate (live births per 1,000 of people per year)","Net Migration Rate (immigration - emigration per 1,000 people)","Mortality rate (units of deaths per 1,000 individuals per year)",landArea
String,String,int,int,int,int,int,int,int
Turkey,Middle East,77193000,28,5,16,0,5,769630
Turkmenistan,Central Asia,5307000,25,5,22,-1,8,469930
Tuvalu,Oceania,11323,25,5,25,0,9,30
Uganda,Sub-Saharan Africa,38845000,16,25,43,-1,9,199810
Ukraine,Europe,42900000,39,5,11,1,15,579320
United Arab Emirates,Middle East,9446000,28,5,15,22,1,83600
United Kingdom of Great Britain and Northern Ireland,Europe,64704000,40,5,12,3,9,241930
United Republic of Tanzania,Sub-Saharan Africa,50757000,17,5,40,-1,9,885800
Uruguay,South America,3419000,34,5,14,-2,9,175020
Uzbekistan,Central Asia,30739000,24,8,22,-1,5,425400
Vanuatu,Oceania,271000,21,6,29,0,5,12190
Venezuela,South America,30206000,26,0,20,0,5,882050
Vietnam,Southeast Asia,90655000,29,0,17,0,7,310070
Yemen,Middle East,25956000,18,26,36,-1,8,527970
Zambia,Sub-Saharan Africa,15111000,16,50,45,-1,11,743390
Zimbabwe,Sub-Saharan Africa,14707000,19,33,33,6,9,386850
