country,population,Average age of population (years),"Undernourished (per 1,000 people)","Birth Rate (live births per 1,000 of people per year)","Net Migration Rate (immigration - emigration per 1,000 people)","Mortality rate (units of deaths per 1,000 individuals per year)",landArea,,,,,,,
String,int,int,int,int,int,int,int,,,,,,,
Marshall Islands,55000,23,5,30,-17,4,180,,,,,,,
Mauritania,3984000,20,7,34,-1,9,1030700,,,,,,,
Mauritius,1261000,33,5,11,0,8,2030,,,,,,,
Mexico,119713000,26,5,19,-2,6,1943950,,,,,,,
Micronesia,103000,26,5,24,-19,5,3170,,,,,,,
Monaco,37000,51,5,6,23,7,2,,,,,,,
Mongolia,2857000,26,25,28,0,6,1553560,,,,,,,
Montenegro,619000,36,5,12,-3,10,13450,,,,,,,
Morocco,33889509,26,5,22,-3,6,446300,,,,,,,
Mozambique,25059000,17,30,43,0,13,786380,,,,,,,
Myanmar,53719000,28,18,17,-1,9,653290,,,,,,,
namibia,2348000,20,39,30,0,7,823290,,,,,,,
nauru,10560,25,0,36,-9,8,20,,,,,,,
Nepal,27140000,21,12,22,-3,7,143350,,,,,,,
Netherlands,17006714,41,5,10,1,8,33720,,,,,,,
New Zealand,4292000,37,5,13,5,7,263310,,,,,,,
Nicaragua,6226000,22,19,23,-6,5,120340,,,,,,,
Niger,18156000,15,11,50,0,11,1266700,,,,,,,
Nigeria,177542000,18,6,39,0,13,910770,,,,,,,
Norway,5138000,39,5,12,8,8,365268,,,,,,,
Oman,4071000,25,5,20,39,2,309500,,,,,,,
Pakistan,193979000,22,22,28,-3,8,770880,,,,,,,
Palau,18000,33,0,14,0,9,460,,,,,,,
Panama,3915000,27,13,20,2,5,74340,,,,,,,
Papua New Guinea,7571000,20,0,33,0,10,452860,,,,,,,
Paraguay,6902000,23,9,23,-1,6,397300,,,,,,,
Peru,30814000,26,11,20,-3,5,1280000,,,,,,,
Philippines,100096000,22,13,24,-1,6,298170,,,,,,,
Poland,38479000,38,5,10,0,10,306230,,,,,,,
Portugal,10396000,41,5,8,-4,10,91590,,,,,,,
Qatar,2268000,32,5,11,2,1,11610,,,,,,,
Republic of Korea,50424000,38,5,9,0,5,97230,,,,,,,
Republic of Macedonia,2066000,37,0,11,1,9,25220,,,,,,,
Republic of Moldova,4110000,35,5,11,0,11,32850,,,,,,,
Romania,20015000,38,5,10,0,12,230170,,,,,,,
Russian Federation,143747000,38,5,13,2,13,16376870,,,,,,,
Rwanda,11080000,18,35,31,-1,8,24670,,,,,,,
Saint Kitts and Nevis,54744,34,0,13,7,7,260,,,,,,,
Saint Lucia,173000,29,0,13,0,8,610,,,,,,,
Saint Vincent and the Grenadines,106000,28,0,17,-9,8,390,,,,,,,
Samoa,192000,21,5,29,-24,5,2830,,,,,,,
San Marino,33000,44,5,10,5,7,60,,,,,,,
Sao Tome and Principe,190000,19,5,36,-2,7,960,,,,,,,
Saudi Arabia,30814000,26,5,22,2,4,2149690,,,,,,,
Senegal,13933000,18,14,40,-1,8,192530,,,,,,,
Serbia,8970000,38,5,9,0,14,87460,,,,,,,
Seychelles,90000,32,5,19,2,7,460,,,,,,,
Sierra Leone,6344000,19,5,38,-1,17,72180,,,,,,,
Singapore,5487400,37,5,9,12,5,700,,,,,,,
Slovakia,5421000,37,5,10,0,10,48088,,,,,,,
Slovenia,2061000,42,5,10,0,9,20140,,,,,,,
Solomon Islands,626000,19,5,31,0,5,27990,,,,,,,
Somalia,10806000,16,5,44,-3,12,627340,,,,,,,
South Africa,53699000,25,5,20,3,11,1213090,,,,,,,
South Sudan,11739000,18,5,36,16,12,619745,,,,,,,
Spain,46453000,40,5,9,-4,8,498800,,,,,,,
Sri Lanka,20684000,31,5,18,-3,6,62710,,,,,,,
Sudan,38764000,19,5,34,-4,8,1886068,,,,,,,
Suriname,564000,28,8,20,-2,7,156000,,,,,,,
Swaziland,1268000,19,24,30,-1,14,17200,,,,,,,
Sweden,9689000,41,5,12,2,9,410340,,,,,,,
Switzerland,8187000,42,5,10,6,8,39516,,,,,,,
Syrian Arab Republic,21987000,22,5,24,-11,4,183630,,,,,,,
Tajikistan,8266000,21,37,34,-5,7,139960,,,,,,,
Thailand,66443000,35,9,12,0,8,510890,,,,,,,
Timor-Leste,1212000,16,31,37,0,10,14870,,,,,,,
Togo,6993000,19,19,37,0,11,54390,,,,,,,
Tonga,103369,21,0,27,-19,7,720,,,,,,,
Trinidad and Tobago,1343000,32,0,13,-3,10,5130,,,,,,,
Tunisia,10998000,29,5,19,-3,6,155360,,,,,,,
Turkey,77193000,28,5,16,0,5,769630,,,,,,,
Turkmenistan,5307000,25,5,22,-1,8,469930,,,,,,,
Tuvalu,11323,25,5,25,0,9,30,,,,,,,
Uganda,38845000,16,25,43,-1,9,199810,,,,,,,
Ukraine,42900000,39,5,11,1,15,579320,,,,,,,
United Arab Emirates,9446000,28,5,15,22,1,83600,,,,,,,
United Kingdom of Great Britain and Northern Ireland,64704000,40,5,12,3,9,241930,,,,,,,
United Republic of Tanzania,50757000,17,5,40,-1,9,885800,,,,,,,
United States of America,321471000,37,5,13,3,8,9147420,,,,,,,
Uruguay,3419000,34,5,14,-2,9,175020,,,,,,,
Uzbekistan,30739000,24,8,22,-1,5,425400,,,,,,,
Vanuatu,271000,21,6,29,0,5,12190,,,,,,,
Venezuela,30206000,26,0,20,0,5,882050,,,,,,,
Viet nam,90655000,29,0,17,0,7,310070,,,,,,,
Yemen,25956000,18,26,36,-1,8,527970,,,,,,,
Zambia,15111000,16,50,45,-1,11,743390,,,,,,,
Zimbabwe,14707000,19,33,33,6,9,386850,,,,,,,
