"","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","Standard.Deviation"
"Cape Verde",513,513.936391319063,514.87449185587,515.814304730296,516.755833067914,517.69908,518.562821274862,519.428003635905,520.29462948747,521.162701237912,522.0322212996,522.774525204636,523.517884628978,524.26230107352,525.007776041294,525.754311037466,526.350215573372,526.946795524026,527.544051654963,528.141984732584,528.740595524159,529.185047277715,529.629872631034,530.075071898159,530.520645393396,530.966593431316,531.26995947024,531.573498836365,531.877211628721,532.181097946395,532.485157888529,532.656507795533,532.827912841709,532.9993730448,533.170888422555,533.34245899273,0.0751244693542266
"Central African Republic",4761,4779.12467186857,4797.31834263029,4815.58127495737,4833.91373252196,4852.31598,4869.8033851705,4887.35381371806,4904.96749277449,4922.64465029017,4940.385515037,4956.93327010332,4973.53645165344,4990.19524533763,5006.90983742798,5023.68041482052,5039.2177028155,5054.80304468697,5070.43658905645,5086.11848500509,5101.84888207513,5116.46838486215,5131.12978027804,5145.83318836739,5160.5787295188,5175.36652446583,5189.05009888009,5202.76985241478,5216.52588072682,5230.31827972608,5244.14714557598,5256.72505988377,5269.333141905,5281.97146399595,5294.64009868641,5307.33911868017,0.0159920333292264
"Chad",12459,12520.3147533556,12581.9312563685,12643.8509940458,12706.0754587031,12768.60615,12831.5697756808,12894.8438830314,12958.4300030765,13022.3296743906,13086.544443135,13147.686582161,13209.1143856863,13270.8291883746,13332.8323311258,13395.1251611041,13453.5517951681,13512.2332735525,13571.1707078329,13630.3652144337,13689.8179146484,13745.0335084453,13800.4718051164,13856.1337028968,13912.0201036439,13968.1319128532,14019.9587673191,14071.9779182825,14124.1900792335,14176.5959663093,14229.1962983044,14277.6429618476,14326.2545735129,14375.0316949052,14423.9748895415,14473.0847228574,0.000178022382936987
"Chile",17725,17751.0852097007,17777.2088080145,17803.3708514362,17829.5713965442,17855.8105,17877.0796075718,17898.3740500303,17919.6938575535,17941.0390603551,17962.409688685,17978.5110404679,17994.626825366,18010.7570563172,18026.9017462706,18043.0609081872,18054.2337601902,18065.4135307877,18076.6002242639,18087.7938449057,18098.9943970026,18105.6137853314,18112.2355945849,18118.8598256485,18125.4864794079,18132.1155567491,18134.5808539951,18137.0464864304,18139.5124541006,18141.9787570511,18144.4453953277,18143.2477038259,18142.0500913821,18140.8525579913,18139.655103648,18138.4577283472,0.000473864981409685
"China",1364775,1365489.39380709,1366204.16156484,1366919.30346899,1367634.81971539,1368350.7105,1368643.41230247,1368936.17671633,1369229.00375499,1369521.89343182,1369814.84576023,1369729.9067067,1369644.97292004,1369560.04439993,1369475.12114604,1369390.20315805,1368935.26343025,1368480.47484283,1368025.83734557,1367571.35088829,1367117.01542081,1366290.27743988,1365464.03941301,1364638.30103785,1363813.06201225,1362988.32203424,1361805.92445741,1360624.552615,1359444.20561717,1358264.88257488,1357086.58259983,1355587.76614393,1354090.60503619,1352595.09744837,1351101.24155428,1349609.0355297,0.00188106371393774
"Colombia",48770,48877.8885427918,48986.0157556198,49094.3821664676,49202.9883044869,49311.8347,49404.0964382333,49496.5307968606,49589.1380988525,49681.9186677833,49774.872827833,49851.8847550053,49929.0158354087,50006.2662533977,50083.6361936121,50161.125840977,50223.2717798944,50285.4947130511,50347.7947358372,50410.1719437611,50472.6264324495,50520.4845832532,50568.3881131616,50616.3370652031,50664.3314824471,50712.3714080036,50746.8090172064,50781.2700122004,50815.7544088663,50850.2622230957,50884.7934707908,50907.1631032934,50929.5425697841,50951.9318745862,50974.3310220247,50996.7400164266,0.00219085325821078
"Comoros",813,816.688296809481,820.393326132314,824.115163878062,827.853886300666,831.60957,835.215621017634,838.837308704699,842.474700865402,846.127865597965,849.796871295901,853.446704709275,857.112213967542,860.793466397643,864.490529615681,868.20347152817,871.85895155701,875.52982260268,879.216149467447,882.917997226423,886.635431228713,890.155681785624,893.689908959695,897.238168242952,900.800515347738,904.377006207599,907.670190080647,910.97536570044,914.292576733534,917.621867005487,920.963280501447,924.042582240019,927.132179827944,930.232107690079,933.342400366379,936.463092512287,0.000355106473472965
"Congo",4413,4434.54469389136,4456.19457106731,4477.95014504284,4499.81193183997,4521.78045,4542.29418727787,4562.90098821103,4583.60127499676,4604.39547174769,4625.2840045005,4644.60363057063,4664.00395394522,4683.48531169366,4703.0480422933,4722.69248563528,4740.79225615491,4758.9613942427,4777.2001657506,4795.50883754945,4813.8876775329,4830.73350308677,4847.63827929707,4864.60221245705,4881.62550958184,4898.70837841103,4914.34291350579,4930.02734720009,4945.76183874844,4961.54654791362,4977.38163496831,4991.7920864508,5006.24425888763,5020.73827306877,5035.27425013391,5049.85231157345,0.00123285696886743
"Congo, Dem. Rep.",73291,73593.8176325689,73897.8864217409,74203.2115369403,74509.79816895,74817.6515299999,75135.1646758741,75454.0252925087,75774.2390983361,76095.8118360567,76418.749272742,76729.5281010242,77041.5708008175,77354.8825120187,77669.468395428,77985.3336328331,78288.6672372638,78593.180695281,78898.8785960711,79205.7655466709,79513.8461720367,79805.2673105761,80097.7565181887,80391.3177093865,80685.9548130283,80981.6717723724,81257.7125734027,81534.694309859,81812.6201890915,82091.4934293829,82371.3172599864,82630.794424479,82891.088965713,83152.2034584999,83414.1404857617,83676.9026385571,0.000611469383698214
"Costa Rica",4925,4935.89503943509,4946.81418077563,4957.75747733961,4968.72498256302,4979.71675,4988.40091270211,4997.100219776,5005.81469763206,5014.5443727267,5023.2892715625,5029.93255842418,5036.58463101528,5043.24550095489,5049.9151798775,5056.59367943296,5061.45886468344,5066.32873095617,5071.20328275497,5076.08252458803,5080.96646096782,5084.2850751202,5087.60585681294,5090.92880746177,5094.25392848333,5097.58122129519,5099.48629221136,5101.3920750917,5103.29857020229,5105.2057778093,5107.11369817901,5107.68556682897,5108.25749951388,5108.8294962409,5109.40155701722,5109.97368184999,1.22927388637058e-05
"Cote d'Ivoire",21533,21624.4670045525,21716.3225389392,21808.5682535416,21901.2058057512,21994.23686,22082.8603679717,22171.8409752242,22261.1801206523,22350.8792489485,22440.9398106266,22525.4861560051,22610.3510301341,22695.535633072,22781.0411693987,22866.8688482323,22946.6190762438,23026.6474402305,23106.9549102162,23187.5424596079,23268.4110652073,23343.1790586541,23418.1873028351,23493.4365697442,23568.9276338554,23644.6612721317,23714.378989589,23784.3022739636,23854.4317313819,23924.7679697578,23995.3115987974,24059.7518957617,24124.3652495275,24189.152124845,24254.1129877129,24319.2483053811,0.00827995608259991
"Cuba",11236,11233.6844297884,11231.369336781,11229.0547208793,11226.7405819851,11224.42692,11221.4621054575,11218.4980740396,11215.5348255396,11212.5723597505,11209.6106764656,11204.8762231935,11200.1437695491,11195.4133146879,11190.6848577655,11185.9583979383,11178.4986065744,11171.0437900626,11163.593945085,11156.1490683263,11148.7091564731,11138.4334192578,11128.1671531636,11117.9103494612,11107.6629994289,11097.4250943533,11084.4329165635,11071.4559492104,11058.4941744868,11045.547574606,11032.6161318023,11017.0826593069,11001.5710573058,10986.0812950062,10970.6133416586,10955.1671665571,0.00631665296950418
"Cyprus",1153,1155.04965183108,1157.10294726374,1159.15989277511,1161.22049485381,1163.28476,1164.94814656977,1166.61391162414,1168.28205856411,1169.95259079555,1171.6255117292,1173.03742826534,1174.4510462908,1175.86636785605,1177.283395014,1178.70212982004,1179.65768538475,1180.61401560355,1181.57112110446,1182.52900251597,1183.48766046711,1184.05046505826,1184.61353728972,1185.17687728876,1185.74048518273,1186.30436109903,1186.53204412285,1186.75977084505,1186.98754127399,1187.21535541807,1187.44321328568,1187.33869988693,1187.23419568699,1187.12970068503,1187.02521488025,1186.92073827184,0.00410704422838884
"Denmark",5628,5631.5074973705,5635.01718069299,5638.52905132981,5642.04311064413,5645.55936,5648.80746252944,5652.05743381436,5655.30927492993,5658.56298695195,5661.81857095681,5664.3980088493,5666.97862189422,5669.56041062695,5672.14337558311,5674.72751729858,5676.24752976474,5677.76794937606,5679.28877624161,5680.81001047048,5682.33165217177,5682.84296999154,5683.35433382163,5683.86574366618,5684.37719952934,5684.88870141524,5684.70677333303,5684.52485107288,5684.34293463462,5684.16102401806,5683.97911922302,5683.45609689908,5682.93312270206,5682.41019662752,5681.88731867103,5681.36448882817,0.000547991619854643
"Dominican Republic",10433,10454.8178564329,10476.6813391342,10498.5905435193,10520.545565203,10542.5465,10561.1829720715,10579.8523885642,10598.5548077151,10617.2902878643,10636.058887455,10651.6058327223,10667.1755032782,10682.7679323406,10698.3831531762,10714.0211991,10726.3567418915,10738.7064871577,10751.0704512507,10763.4486505412,10775.8411014189,10784.9420771397,10794.0507392915,10803.1670943661,10812.2911488606,10821.4229092779,10827.3681556988,10833.3166684144,10839.268449219,10845.2234999082,10851.1818222784,10854.1317394153,10857.0824584936,10860.0339797312,10862.9863033461,10865.9394295567,0.00108038781455303
"Ecuador",15253,15287.7100244847,15322.4990357785,15357.3672136253,15392.3147381782,15427.34179,15457.4309257561,15487.5787466767,15517.78536722,15548.0509020674,15578.3754661241,15603.809658649,15629.285376566,15654.8026876719,15680.3616598743,15705.9623611916,15726.7022087149,15747.4694433708,15768.2641013243,15789.0862187881,15809.9358320227,15826.0606608913,15842.2019357537,15858.3596733833,15874.533890571,15890.7246041244,15902.3396225721,15913.9631307933,15925.5951349936,15937.2356413828,15948.8846561755,15956.2780807378,15963.67493267,15971.0752135609,15978.4789250001,15985.8860685778,0.000384111681670572
"Egypt",86788,87038.2379983741,87289.197514191,87540.88062782,87793.2894256286,88046.426,88264.9266067654,88483.9694560422,88703.5558934877,88923.6872680988,89144.36493222,89335.7367573006,89527.5194123361,89719.7137792813,89912.3207419839,90105.3411861893,90274.1058598363,90443.1866247904,90612.5840730814,90782.2987978479,90952.3313933395,91099.0183514771,91245.9418847894,91393.1023748223,91540.5002037372,91688.1357543116,91811.2170945515,91934.4636580909,92057.8756667241,92181.4533425431,92305.1969079382,92403.2013054029,92501.3097583514,92599.522377264,92697.839272738,92796.2605554884,3.57501888638079e-06
"El Salvador",6342,6350.79097494222,6359.59413551049,6368.40949859594,6377.23708111311,6386.0769,6395.10678447688,6404.14943717045,6413.20487613491,6422.27311944999,6431.354185221,6440.32018436276,6449.29868307121,6458.28969877211,6467.29324891548,6476.30935097569,6483.32739624584,6490.35304661278,6497.38631031775,6504.42719561095,6511.47571075149,6516.7804246883,6522.08946022457,6527.40282088099,6532.72051018111,6538.04253165136,6541.77802102052,6545.5156446494,6549.25540375741,6552.99729956463,6556.74133329188,6558.89053503492,6561.04044125414,6563.19105218047,6565.34236804489,6567.49438907848,2.59096881315014e-05
"Estonia",1338,1337.70818874254,1337.41644112769,1337.12475714157,1336.83313677029,1336.54158,1336.00118038221,1335.46099926248,1334.92103655247,1334.38129216386,1333.8417660084,1333.02445384434,1332.20764248868,1331.39133163457,1330.57552097531,1329.76021020441,1328.87874110629,1327.99785631485,1327.11755544276,1326.23783810296,1325.35870390864,1324.64489245103,1323.93146543788,1323.21842266212,1322.50576391681,1321.79348899512,1321.24846078919,1320.70365732014,1320.15907849531,1319.61472422205,1319.07059440779,1318.55311287007,1318.03583434433,1317.51875875093,1317.00188601027,1316.48521604275,0.0252576052262536
"Ethiopia",90179,90514.8408263842,90851.9323770021,91190.279309748,91529.8862998632,91870.75804,92179.7469793984,92489.7751413602,92800.8460211028,93112.9631255992,93426.1299736173,93704.1877448998,93983.0730804216,94262.7884432052,94543.3363036035,94824.7191393223,95067.5510648491,95311.0048466239,95555.0820771274,95799.7843529187,96045.1132746453,96253.3942248902,96462.1268478205,96671.312122922,96880.9510318043,97091.0445582062,97268.4599622764,97446.1995592292,97624.2639414652,97802.6537024679,97981.3694368049,98131.0190680969,98280.8972633727,98431.0043717245,98581.3407427775,98731.9067266908,0.0154954480207563
"Fiji",889,890.044783381504,891.090794628378,892.138035183652,893.186506492051,894.23621,894.934411581215,895.633158304132,896.332450594384,897.03228887794,897.7326735811,898.383483211347,899.034764644823,899.686518223562,900.338744289844,900.991443186199,901.633834395797,902.276683619141,902.919991182788,903.563757413525,904.207982638374,904.80217005399,905.396747931415,905.991716527236,906.587076098207,907.182826901254,907.692091557743,908.201642099815,908.711478687956,909.221601482744,909.732010644846,910.14828677123,910.564753377679,910.981410551355,911.398258379456,911.815296949223,7.29632284263776e-05
"Finland",5434,5437.00710596989,5440.01587603369,5443.02631111229,5446.03841212709,5449.05218,5451.38238053418,5453.71357754157,5456.0457714483,5458.37896268068,5460.71315166519,5462.04491593172,5463.37700499026,5464.70941892004,5466.04215780028,5467.37522171023,5467.67042809163,5467.96565041246,5468.26088867357,5468.55614287583,5468.85141302009,5468.54512303456,5468.23885020319,5467.93259452502,5467.62635599909,5467.32013462444,5467.0029932661,5466.6858703041,5466.36876573736,5466.05167956481,5465.7346117854,5465.7346117854,5465.7346117854,5465.7346117854,5465.7346117854,5465.7346117854,0.0067074148637392
